name,latitude,longitude,category
Leigh Park,-37.79030013686235,145.08450361398317,active_sport
Cascade St Res,-37.78843269036513,145.07372790715746,park
Canterbury Sports Gd,-37.82214164575841,145.08808664749236,active_sport
Surrey Gardens,-37.82690581708824,145.096104926429,nature
Central Gdns,-37.8211936737292,145.04140642796813,park
Harrison Cres Reserve,-37.81270580387454,145.01568572951712,park
Canterbury Gardens,-37.82458104816995,145.07918629853492,park
Colville Res,-37.82325831914096,145.08577098197657,park
Rockingham Res,-37.81174264852624,145.01612951751002,nature
Kooyongkoot Rd Res,-37.83698659715568,145.03719996969954,park
Alexandra Gdns,-37.80765654718977,145.03349293894001,park
Camberwell Rd Res,-37.83591264124886,145.06164366875646,park
Balwyn Community Centre Reserve,-37.814610133828936,145.08884427298543,park
Dunlop St Res,-37.86815467108774,145.06626436859958,nature
Camberwell Sports Ground,-37.83806768000931,145.06268245280918,active_sport
Park - Boroondara (3),-37.81565788968571,145.0852479975359,park
Quinton Road Reserve,-37.83738425656261,145.09134096640352,nature
Camberwell Road/Seymour Grove Reserve,-37.83642285324702,145.06200504457857,park
Grovedale Park,-37.81712424091765,145.09492183733045,park
South Surrey Park,-37.83313723821783,145.0934850892931,park
Madeline St Res,-37.857588475939544,145.08922635272495,park
Summerhill Park,-37.85841198551671,145.08137366618726,trail
Winmallee Rd Res,-37.80790997503765,145.08868691128262,park
Harrison Cres Res,-37.81363646407461,145.01530925466673,nature
Mont Albert Park,-37.8113099479898,145.10072683724243,park
Greythorn Park,-37.79782512055006,145.09371447657736,active_sport
Medlow Reserve,-37.83068756009559,145.09832246916983,nature
Back Creek Reserve,-37.851074651018905,145.07092307822577,trail
Rumpf Ave Res,-37.79198131308147,145.09819774699145,park
Boroondara Sports and Aquatic Complex,-37.80124640994459,145.08605720252496,active_sport
Matlock Street Reserve,-37.82848295116116,145.07217247650843,active_sport
Pitt Street North Reserve,-37.86984771603406,145.06746732837559,park
Shrublands Ck Res,-37.82225250588246,145.082892966554,park
Read Gardens,-37.82596152764435,145.0639017842624,nature
Riversdale Rd Res,-37.82729507534026,145.02575842634778,park
Smart St Res,-37.8161094879252,145.0227334912284,park
Kosciusko Rd Chain,-37.78223075057175,145.08602998643315,trail
Pridmore Park,-37.81598362323642,145.0151103802261,nature
Murdoch Street Reserve,-37.841841561628854,145.0716201168417,trail
Chaleyer St Res,-37.85878694038852,145.0857176838646,park
Community Gardens,-37.83022532585321,145.0514475738233,park
River Retreat Reserve,-37.80120869393194,145.02004074691297,nature
Burwood Reserve,-37.85425302963024,145.09345150760763,active_sport
Stradbroke Park,-37.798358777770765,145.06153975133364,active_sport
Green Acres Golf Club (2),-37.78735855391348,145.04374605339893,nature
Jacka St Res,-37.8016779746121,145.0901639125241,park
Fritsch Holzer Park,-37.82677929019236,145.04764029011858,trail
Linckens Cres Res,-37.80876760814231,145.087529580885,park
Brinsley Rd Res,-37.82835991037533,145.06934511092757,park
Sunken Garden,-37.80158931482638,145.02217994574139,trail
Ray Drive Res,-37.79287981947235,145.09740149297835,park
Eglinton Res,-37.79965828470427,145.0390805639842,park
John August Reserve,-37.81760928418996,145.0841485564803,park
Scullin Park,-37.82739354857239,145.03946218611617,trail
Dean Ave Res,-37.82492284990523,145.0399682317231,park
Hull Street Reserve,-37.817591552719016,145.03918453891092,park
Eva Tiley Res,-37.797260394917316,145.06411463021755,park
Kew Heights Bowling Club,-37.81596006458286,145.0532054996083,active_sport
Dorothy Rogers Reserve,-37.807036887405665,145.02799763895567,park
Walking Trail - Boroondara,-37.794236258880424,145.02623259428043,trail
Chandler Hwy Reserve,-37.79187607805247,145.03117098395197,trail
Hays Paddock,-37.789886205094625,145.05864879043034,park
Columba Street Reserve,-37.78313102798523,145.07440634600727,park
Nature Reserve - Boroondara,-37.77841840993602,145.07984953474647,nature
Scotch Circuit Reserve,-37.83521103999355,145.04176089856904,park
Howard Dawson Reserve,-37.85096350353924,145.0542999922865,active_sport
Old Burke Rd Res,-37.786181966321934,145.06381075404883,nature
Cooper Reserve,-37.84070386508076,145.09412402715677,park
Fordham Ave Res,-37.83567575737354,145.07224115868772,park
Auburn Quarry Res,-37.840786598078,145.04342444082172,active_sport
Hawthorn & Xavier Rowing Clubs,-37.8206919828838,145.01609499695542,active_sport
St.James Park,-37.820231040489894,145.01880251876437,park
Hawthorn Aquatic & Leisure Centre,-37.820648181208306,145.032557089962,active_sport
Beckett Park,-37.81057757327363,145.0922856336816,nature
Sir William Angliss Res,-37.81986540413448,145.05357112588027,active_sport
Riversdale Park,-37.83209425959491,145.07163261620164,park
Victoria Park,-37.80227820217331,145.04777527839966,active_sport
Warburton Rd Land,-37.82613302532414,145.07570927091868,park
Chaucer Cres Reserve,-37.825037138229966,145.07750671617876,park
Boroondara Park,-37.82348725909768,145.06882168494604,trail
Kew Public Purposes Reserve,-37.80687347983865,145.03188082021973,park
Yarra Bank Reserve,-37.81928022039147,145.0156200367654,nature
Balwyn Bowls Club,-37.8139344470983,145.07842101353586,active_sport
Windella Ave Res,-37.79813199132736,145.05012343803457,park
Myrtle Park,-37.80037055875042,145.07348945027084,active_sport
Canopy Avenue Reserve (No 1),-37.79717484122059,145.0298058682799,park
Rear 38 Creswick Street,-37.81805726960777,145.0151506180133,nature
Kew Metropolitan Park,-37.79984998746748,145.01926515772078,nature
Yarra River Frontage - Boroondara,-37.79890934683033,145.02101505846545,nature
former Melbourne Park and Waterways Land,-37.810307473518606,145.01392737339233,nature
"Drains, Ashburton (Camberwell)",-37.8584347641486,145.0839399699005,nature
Nettleton Park Reserve,-37.85398978853592,145.0593657430688,nature
Muswell Hill Reserve,-37.859568228973764,145.062856435537,park
Eric Raven Reserve,-37.861440937854745,145.0628505948213,active_sport
Winton Road Reserve,-37.87361488935696,145.06922099007375,nature
Ryburne Avenue Reserve,-37.87526374951967,145.0721680855334,nature
"Trunk Sewer, South Eastern",-37.800545478009084,145.06411144876168,park
Minifie Park,-37.80468732714514,145.09610091575843,park
part Outer Circle Linear Park,-37.80672523557277,145.06157741565156,trail
Petrie Square,-37.80771795350964,145.03504310247448,park
Raoul Wallenberg Gardens,-37.80694752242482,145.02915825824368,park
Walmer Street Extension,-37.80967641872075,145.01007990385256,nature
Mary Street Reserve,-37.81829443261932,145.03213770585705,park
Recreation Hall Reserve,-37.80942449996283,145.03061248238416,park
Patterson Reserve,-37.842474589721625,145.04076754135238,park
Nature Reserve - Boroondara (2),-37.848336860831886,145.04530149479453,nature
Summerhill Park (2),-37.858816314558055,145.0821261270239,park
Summerhill Linear Park (2),-37.85770934586806,145.0763818256639,park
Brixton Rise Reserve,-37.85884644081218,145.06166312776858,nature
Patterson Reserve (2),-37.83875358738707,145.0395751803186,active_sport
Outer Circle Linear Park,-37.839893298497415,145.0725186176823,park
Childers Park,-37.79763808586178,145.0424000968233,park
Lynden Park,-37.843252836639245,145.0864847440499,active_sport
Harrison Res (Sth),-37.79419956270807,145.0609531516751,park
Warburton Road Reserve,-37.82717344883133,145.07412800483857,park
Hislop Park,-37.8000906470559,145.0809413061071,active_sport
Ferndale Park,-37.853166044026295,145.06878367766333,trail
Frog Hollow Res,-37.83743919919585,145.07195247747828,active_sport
Walking Trail - Boroondara (2),-37.79406753179568,145.02607361877307,trail
Yarra Bend Park - Boroondara,-37.790551524472576,145.0182408247365,nature
Creswick Street Reserve,-37.81919169908646,145.01670507306488,trail
Burwood Road Reserve,-37.82030042603401,145.01631670876105,park
Windella Avenue Reserve,-37.798349975697974,145.05064966384774,park
Cooper Reserve (2),-37.83952603114123,145.09627173672195,active_sport
Chandler Park,-37.788480281190346,145.02855072639576,park
King Street Chain,-37.80262053128033,145.06527367030404,park
Yarra Bend Park Link,-37.80213977085566,145.02132737334733,nature
Gardiners Creek Frontage - Boroondara,-37.84708112021928,145.04234668002437,nature
"Retarding Basins, Hawthorn East",-37.81972482900891,145.0552188547752,nature
"Burke Road Billabong Reserve, Kew East",-37.78165305037154,145.05957822551503,nature
Back Creek Reserve (2),-37.849191257350874,145.07285817307232,park
adjacent to Outer Circle Linear Park,-37.80102924524501,145.05609086790065,park
Harrison Cres Reserve (2),-37.81320549756265,145.0154013809816,nature
Muir Street Reserve,-37.81426548214139,145.01506764519223,nature
Willsmere Park,-37.787753806074235,145.0427794196476,nature
Brixton Rise Reserve (2),-37.85327484430094,145.06009780083335,park
Maranoa Gardens,-37.81030979191056,145.09037397405933,nature
Dorothy Laver Reserve West,-37.8658389024371,145.06350714735535,park
Grace Park,-37.819759601292716,145.0279192332583,park
Pitt Street South Reserve,-37.87101480782832,145.06813524284286,nature
Outer Circle Linear Park (2),-37.872621776572295,145.0768593127725,trail
Yarra Flats Reserve,-37.78323660262032,145.06442660619027,nature
Leonis Avenue Reserve,-37.78155788847303,145.0776588255147,park
Wallen Road Reserve,-37.82819462077373,145.02447760437806,park
Koonung Creek Reserve,-37.78185970496999,145.09490809760987,nature
Park - Boroondara (4),-37.83198431849009,145.02856743391786,park
L.E. Bray Reserve,-37.815599197022806,145.03041720760353,park
"350a Tooronga Rd, Hawthorn",-37.84966373685755,145.0491255922078,nature
Yarra Bank ReserveYarra Bank Reserve,-37.81856485867955,145.0155029249905,park
Fairview Park,-37.829832986464744,145.02800024799686,park
Park - Boroondara (5),-37.83172994810332,145.0288140088815,park
Fritsch Holzer Park (2),-37.82809169787224,145.04884204312737,park
Walking Trail - Boroondara (3),-37.79402457344954,145.02616097108313,trail
Musca Street Reserve,-37.785603257193245,145.06646051812302,park
Old Burke Road Reserve,-37.78553026710794,145.0626007990794,nature
H.A. Smith Res,-37.83670910757328,145.03492947869893,active_sport
Outer Circle Linear Park (3),-37.838084159889895,145.07278273902713,nature
Frog Hollow Res (2),-37.83628537331704,145.07189883902828,nature
Yarra Bend Park - Andrews Reserve,-37.80565142786308,145.001538854653,nature
Winfield Road Reserve,-37.7909303396571,145.10383964689464,nature
Kinkora Road Reserve,-37.816901142752144,145.0313326252154,park
Sefton Place Reserve,-37.8243674246736,145.0681349425921,park
Burke Road South Reserve,-37.849390470067924,145.05068215015686,active_sport
Lynden Park (2),-37.843992399520914,145.08758983937625,park
Gardiner Creek,-37.85519765437444,145.0597204525202,nature
Gardiners Creek Water Frontage,-37.86181316034054,145.06202582343113,nature
Boroondara Park (2),-37.82514127324061,145.06948408121784,park
Jack Otoole Reserve,-37.791019198791254,145.04035773210887,active_sport
Yarra Bend Park - Zig Zag Park,-37.78835132386468,145.020355869381,nature
St James Park,-37.820357802764555,145.01981455574756,park
Frog Hollow Reserve,-37.838182241625525,145.07272544242952,nature
Yarra Bend Park,-37.794240994357644,145.01862044573446,nature
Kate Campbell Reserve,-37.7912798008705,145.0342568620917,park
Swinburne Recreation Reserve (2),-37.828412339215504,145.051146045919,active_sport
Yara Bend Park - Bell Bird Reserve,-37.794521757012355,145.01848102792476,nature
Yarra River,-37.801963957712324,145.01655032666548,nature
Studley Park,-37.80174858935556,145.01073840392377,nature
Markham Reserve,-37.8717378523774,145.08524807917735,nature
Nature Reserve - Boroondara (3),-37.87195270911792,145.08555184607087,nature
Nature Reserve - Boroondara (4),-37.87271521205285,145.08291921678057,nature
Nature Reserve - Boroondara (5),-37.871771729798915,145.08893638181445,nature
Nature Reserve - Boroondara (6),-37.87201842924924,145.0848124198648,nature
Clifford Close Reserve,-37.87432355820111,145.07792282368263,nature
Nature Reserve - Boroondara (7),-37.87498644728704,145.0731157565771,nature
Nature Reserve - Boroondara (8),-37.873235977228624,145.07989881116615,nature
Nature Reserve - Boroondara (9),-37.87199978711762,145.0861852944743,nature
St James Reserve,-37.81965501936673,145.02117694641314,active_sport
Molesworth Street Reserve,-37.79949886937873,145.02011210605886,nature
Foley Res,-37.812519431928216,145.02571286748326,park
Junction Skate Park,-37.83019623692007,145.051887720771,active_sport
Gardiners Creek,-37.85253314629528,145.0556179340015,nature
TEMPLESTOWE MEMORIAL RESERVE,-37.75752356210696,145.1189420696213,park
SERPELLS COMMUNITY RESERVE,-37.77036763309558,145.15287997468175,active_sport
ANDERSON PARK,-37.765563704794,145.17024191768718,active_sport
MULLUM MULLUM CREEK LINEAR PARK,-37.80265777375294,145.20213860442774,park
WEBSTERS RESERVE,-37.7478558518889,145.15554068545381,park
KIMBERLEY RESERVE,-37.756205243641254,145.09222064070224,trail
LYNETTE RESERVE,-37.74544244315658,145.2006652649263,park
RINGWOOD-WARRANDYTE RESERVE,-37.77800824979049,145.2310794625727,park
WALKER RESERVE,-37.79033472250369,145.12840924464447,park
ALDER LINK (MMCLP),-37.78994431703627,145.20734680705866,park
NORAL RESERVE,-37.77280297296453,145.152602314557,park
DAVIS RESERVE,-37.79422625845662,145.11880226499906,park
IRONBARK RESERVE,-37.7729114835073,145.11741923122335,park
VALEPARK RESERVE,-37.77709472379417,145.1798859830332,park
OAKLAND RESERVE,-37.746303261914534,145.18649015783058,park
BUCKINGHAM RESERVE,-37.78075110956345,145.10724948765676,park
STANLEY RESERVE,-37.774565218627174,145.08498827166449,park
SANDRA RESERVE,-37.77733760547808,145.0838991650333,park
PLEASANT RESERVE,-37.76029659260798,145.0965435416975,park
SWANSTON RESERVE,-37.76217566054411,145.09931885184375,park
BIMBADEEN RESERVE,-37.7574693347206,145.1100329886492,park
HODGSON RESERVE,-37.76716773968795,145.10390172138565,park
EDWIN RESERVE,-37.751761288199546,145.13886406958,park
HERMANN RESERVE,-37.75275556578046,145.1412454602542,park
TASKER RESERVE,-37.76927577366739,145.10223522149474,park
MARCUS RESERVE,-37.76968454637818,145.10384549877364,park
RIVERVIEW RESERVE,-37.77266446550585,145.09914466498617,park
HAROLD LINK,-37.77499555016291,145.09890525157118,park
RAYMOND ELLIOT RESERVE,-37.776107180462645,145.19549079248137,nature
Walking Trail - Manningham,-37.77056006331063,145.0946945020149,trail
Walking Trail - Manningham (2),-37.769774886059295,145.09622691494386,trail
Walking Trail - Manningham (3),-37.778112747068434,145.09633455024417,trail
Walking Trail - Manningham (4),-37.77810178962464,145.10282053420255,trail
ANTHONY RESERVE,-37.775863498268876,145.11000704745553,park
WILLOW NORTH RESERVE,-37.781713447860014,145.10103649098858,park
WILLOW SOUTH RESERVE,-37.78219615907444,145.10088924838678,park
WILSONS RESERVE,-37.7915139806554,145.11011382682057,active_sport
KATRINA GULLY (KCLP),-37.79400043946437,145.1166648384379,park
DELLFIELD RESERVE,-37.76467004942106,145.12525346836455,park
RUFFEY CREEK LINEAR PARK,-37.766742038878654,145.12759576219466,park
LYNNWOOD RESERVE,-37.76971950131573,145.1237101984011,park
CRAWFORD RESERVE,-37.77402506665453,145.12156674265523,park
PETTYS RESERVE,-37.76079907761154,145.15195299349472,park
MOSSDALE COURT RESERVE,-37.77035264593515,145.14272084149542,trail
DONCASTER RESERVE,-37.78871702602946,145.15140158980464,active_sport
BULLEN RESERVE,-37.79244536981226,145.1485835407989,park
HERTFORD RESERVE,-37.77959522583467,145.15300424545634,park
JENKINS PARK (GGLP),-37.76434030773462,145.1631243604049,park
PINE HILL RESERVE,-37.76982549523085,145.1797576873622,park
MATISSE RESERVE,-37.760870419848985,145.16405320699263,park
BEVERLEY RESERVE,-37.79142450888624,145.16643976357355,park
ARANGA RESERVE,-37.80169261359345,145.17670479804977,park
DONVALE RESERVE,-37.79535098623292,145.17565289725604,active_sport
DIRLTON RESERVE,-37.78295807281166,145.2168448690985,nature
IONA RESERVE,-37.78324986865135,145.22065071978275,nature
Park - Manningham,-37.75354732820121,145.14609384191493,park
Park - Manningham (2),-37.753758140020054,145.14820026382623,park
STYLES RESERVE,-37.73085494561917,145.2760225958386,trail
WARD RESERVE,-37.7378490925367,145.27991372110603,park
ST DENY'S RESERVE,-37.73785222559143,145.2717254700053,park
WONGA PARK RESERVE,-37.73940658336179,145.26693514017165,active_sport
AIRD RESERVE,-37.742261953860705,145.2664117422151,park
ARTHUR JOHN UPTON RESERVE,-37.736878189037185,145.2663738091066,park
KERRY ANNE NORTH RESERVE,-37.75672336743405,145.28942499184546,park
KERRY ANNE SOUTH RESERVE,-37.75797272635142,145.28921774334674,park
JOROMA RESERVE,-37.75950535216064,145.28827904725517,park
ROWLAND RESERVE,-37.76188387866421,145.28746415297792,park
TIMBER RESERVE,-37.77606533852628,145.10698164928522,active_sport
KINGSNORTH RESERVE,-37.785687720286994,145.10362192570682,park
ASTELOT RESERVE,-37.801121294505535,145.1803127519947,park
PENDEREL RESERVE,-37.733986615486835,145.27935666400813,park
HUNTINGFIELD RESERVE,-37.76999407819032,145.16790328999346,park
LEAWARRA RESERVE,-37.775382457668805,145.15437468537928,park
OXFORD RESERVE,-37.80362503264547,145.18316349406112,park
HILLCREST RESERVE,-37.80253463211411,145.19527974415706,park
"Parkland Rds, Doncaster East",-37.77035166852086,145.07341226905578,park
AINTREE RESERVE,-37.78776483141922,145.16861467114282,park
VERBENA RESERVE,-37.75691575923321,145.13253514808108,park
PROWSE RESERVE,-37.75606253689631,145.17184596381978,nature
TOLSTOY RESERVE,-37.774951175689665,145.15767213494482,trail
WOOLERTON RESERVE,-37.80351642125343,145.20736662470458,park
Beverley Hills Primary School,-37.79786110635189,145.15935378688633,park
MANDELLA RESERVE,-37.756342930806724,145.14093000011886,park
NILAND RESERVE,-37.75489191622123,145.14057458190535,park
LANDSCAPE RESERVE,-37.7715158703955,145.17378589070975,park
MORRIS WILLIAMS RESERVE,-37.77127024660555,145.0898766251716,park
ZERBES RESERVE,-37.77829487013616,145.16102667863487,active_sport
GREEN GULLY LINEAR PARK,-37.75318400822971,145.16379570471463,park
THE PINES RESERVE,-37.76046065188134,145.16999425520868,park
WESTWOOD RESERVE,-37.779634124246854,145.10207750500734,park
WHISTLEWOOD RESERVE,-37.76752630396045,145.16783431738062,park
MULLUM MULLUM PARK,-37.800145133959006,145.2013722694709,park
EILDON RESERVE (SOUTH),-37.79444791850505,145.12422996805265,park
HANKE RESERVE,-37.79107130003108,145.12435129689786,park
ALBANY RESERVE,-37.773673847092915,145.1663582416542,park
CARAWATHA RESERVE,-37.789510809628766,145.11837728858808,park
LIONEL RESERVE,-37.79595829601227,145.16149512259744,park
STUTT RESERVE,-37.786293684911136,145.107156774686,park
RUFFEY LAKE PARK,-37.77494576372926,145.13603658079938,park
WINDELLA PLAYSPACE (KCLP),-37.795296923375645,145.1339802890917,nature
TIFFANY RESERVE,-37.75901177502511,145.15235540691376,park
KENMAN RESERVE,-37.75951519651177,145.14424122495697,park
CARLTON RESERVE,-37.754792913787824,145.14309893149004,park
BIRCHGROVE RESERVE,-37.772985677267215,145.14451034478802,trail
BRENDAN RESERVE,-37.78061387358726,145.12146543653617,park
Park - Manningham (3),-37.788308488700665,145.12955452245197,park
COCKAIGNE RESERVE,-37.78933010676673,145.13462922369473,park
DONCASTER TENNIS CLUB,-37.787725077186465,145.13957655198263,active_sport
GEDYE RESERVE,-37.796856093753085,145.14844271770104,park
BARATTA RESERVE,-37.796891063339466,145.15375794526017,park
MONTGOMERY RESERVE,-37.78822487793537,145.15957204345247,park
DRYDEN RESERVE,-37.784989475896815,145.15904110113254,park
GAINSBOROUGH RESERVE,-37.78382201242811,145.15542424625085,park
CELESTE RESERVE (EAST),-37.78663116858613,145.15469606989072,park
FALFIELD RESERVE,-37.768294374911555,145.1594981018276,park
TATTERSON RESERVE,-37.76604200328235,145.15874446845953,park
Walking Trail - Manningham (5),-37.76544897992426,145.16500626983455,trail
Walking Trail - Manningham (6),-37.76619283791371,145.16567308425658,trail
BRENT RESERVE,-37.77310209775924,145.1816670203082,trail
ARGYLE RESERVE,-37.79897486701813,145.1711892473903,park
KEVIN RESERVE,-37.80084912221018,145.18258560789693,park
MURNDAL RESERVE,-37.79874045069925,145.190282881723,park
LARNE RESERVE,-37.79449202371727,145.19496784537864,park
MCGOWANS RESERVE,-37.787574072415815,145.19314328318,nature
FLORA RESERVE,-37.78664668379015,145.18925412946516,nature
CHAIM RESERVE,-37.80572584635669,145.21248073614612,trail
SMEDLEY RESERVE,-37.789424736541655,145.21184189102473,trail
VALLEY RESERVE,-37.75424045878496,145.21175774015245,nature
TEMPLESTOWE RESERVE,-37.75434739336674,145.13735555126618,active_sport
SHEAHANS RESERVE,-37.75934775220701,145.0944689262348,park
DUMOSSA RESERVE,-37.762399330166964,145.0873881934733,trail
RONALD RESERVE,-37.763675349827764,145.0897953597185,park
ERIC RESERVE,-37.75696245603481,145.0976860133657,park
MICHAEL RESERVE,-37.77002533449381,145.1095361612309,park
HEATH RESERVE,-37.759263949943545,145.11365899771278,park
SINCLAIR RESERVE,-37.76308479368159,145.12113941138122,park
JUNE RESERVE,-37.76069794834992,145.13182558483933,park
GROVER RESERVE,-37.781151466601806,145.1406373725119,park
SHARON RESERVE,-37.78325123079758,145.14027393955652,park
SCHRAMMS RESERVE,-37.783141931308485,145.13361306549177,active_sport
JOCELYN RESERVE,-37.785075354109736,145.149374405083,park
KERRY RESERVE,-37.78348717123014,145.14618433482792,park
PRINCELY RESERVE,-37.75603876212576,145.1490207056389,park
FIELDING RESERVE,-37.76066285444425,145.1579191494473,park
BEDERVALE RESERVE,-37.75671570100759,145.15860280930158,nature
THEA RESERVE,-37.79751180543651,145.15272892326405,park
ST CLEMS RESERVE,-37.79894286355704,145.16688989266086,park
THE GRANGE RESERVE,-37.77018795498395,145.1486141870955,park
SARAH RESERVE,-37.76216693245468,145.14769201409203,park
ALOHA RESERVE,-37.76266059222747,145.15516838516473,park
BRONTE PLAYSPACE (GGLP),-37.7669576907223,145.16222322617773,trail
LARNACA RESERVE,-37.770107350814314,145.15794892373032,park
BROWNING RESERVE,-37.77068145130586,145.1614141447066,park
APPLE BLOSSOM RESERVE,-37.77251716233578,145.16120823962467,trail
PINEVIEW PARK,-37.7692208994921,145.16101644315992,park
KYRENIA RESERVE,-37.752187599733126,145.19305424127322,trail
WILKINSON RESERVE,-37.78609995686447,145.22904371382515,park
ALAN MORTON RESERVE,-37.784026052892855,145.20718091778755,park
SCHAFTER RESERVE,-37.76262364430966,145.1757871041432,park
CORSICAN RESERVE,-37.75981313518854,145.1760636744509,park
LYNDAL RESERVE,-37.75543041886761,145.17729528919588,park
FERNLEA RESERVE,-37.753385237614275,145.1700526613305,park
HOUNDSWOOD RESERVE,-37.77104578295164,145.16572797483263,park
SNOW GUM RESERVE,-37.784470303281644,145.17311293502755,park
DANIEL RESERVE,-37.784804615627614,145.17675700750846,park
FAHEY PARK,-37.78322443603756,145.17809931967497,trail
Walking Trail - Manningham (7),-37.75799330217299,145.1681142217025,trail
HUSSEYS BEND,-37.76052930686391,145.22212192813566,nature
Walking Trail - Manningham (8),-37.76568414121102,145.2631766283773,trail
CLARICE RESERVE,-37.78323639782608,145.17958439344238,trail
CATJUMP PARK,-37.78043606816315,145.174413476541,park
MIRAMAR RESERVE,-37.77812772337011,145.1761634052828,trail
CAMERON RESERVE,-37.78023258659903,145.17992033365988,park
ALLARA RESERVE,-37.77511026822059,145.1806312106442,trail
BUTTERFLY RESERVE,-37.77305120267499,145.17743096347124,park
DELLVIEW PLAYSPACE (MMCLP),-37.77469892506537,145.1853933015732,park
ONE TREE HILL RESERVE,-37.78360640788313,145.18974181221012,park
BLACKWOOD RESERVE,-37.74090639231143,145.2728739526554,park
STINTONS RESERVE,-37.76754584194869,145.20471743793746,active_sport
MARSHALL RESERVE,-37.791749434637524,145.13484339402038,park
HAMPSHIRE RESERVE,-37.795068164680764,145.13903994224447,park
RENSHAW RESERVE,-37.79437631991701,145.14927748783137,park
MORNA RESERVE,-37.79295790525045,145.15876399332745,park
PINE RESERVE,-37.79087324131226,145.176101315261,park
MAGGS RESERVE,-37.79347582882243,145.16459676015262,park
FULLVIEW RESERVE,-37.75222691928943,145.12935268619384,trail
RICHARD RESERVE,-37.76296279919872,145.10729877068206,park
GERTRUDE RESERVE,-37.76496192570911,145.10112681353468,park
LINDSAY RESERVE,-37.77736497003975,145.10356506240672,park
TED AJANI RESERVE,-37.76807802443054,145.10637808110891,active_sport
BURGUNDY RESERVE,-37.77959956131906,145.11878256848445,active_sport
STUDLEY RESERVE,-37.78188537041452,145.11391792179026,park
